,.endpoint_state.pose.position.x,.endpoint_state.pose.position.y,.endpoint_state.pose.position.z,.endpoint_state.pose.orientation.x,.endpoint_state.pose.orientation.y,.endpoint_state.pose.orientation.z,.endpoint_state.pose.orientation.w,.wrench_stamped.wrench.force.x,.wrench_stamped.wrench.force.y,.wrench_stamped.wrench.force.z,.wrench_stamped.wrench.torque.x,.wrench_stamped.wrench.torque.y,.wrench_stamped.wrench.torque.z
205.721329531,0.764443392298,-0.289800223818,0.00189026369621,-0.0280369176937,0.999384354666,0.00264574815784,0.0209230988144,-0.635999997891,-0.361999976635,-8.99999995232,0.329000011087,0.509499996901,0.161499999463
205.822010782,0.764466346551,-0.289523991571,0.00188669277898,-0.0279035555097,0.999388850538,0.00290154968227,0.0208518154745,-0.78099999465,-1.44700001478,-9.20499987602,0.321000009775,0.513000011444,0.168499998748
205.922692034,0.764411327467,-0.289848286302,0.00181452416045,-0.0276838718002,0.999394589938,0.00277723228397,0.0208880733925,-1.8259999834,-1.78700004816,-9.61000008583,0.303499996662,0.520500004292,0.171499997377
206.023373286,0.764410222569,-0.289918056534,0.00190940015862,-0.0277380142142,0.999392063674,0.00272477926232,0.0209426765832,-1.59599999412,0.787999999523,-9.60000009537,0.31550000608,0.520500004292,0.135499998927
206.124054537,0.764398771518,-0.290084868979,0.00203169415494,-0.0275897547463,0.999397750691,0.00264388861535,0.0208753905423,-0.44600000307,0.113000047207,-9.26500005722,0.32800000906,0.513000011444,0.145999997855
206.224735789,0.764310649834,-0.2897550779,0.00185325404934,-0.027877426399,0.999389986533,0.00272986129676,0.0208571418277,-0.965999991449,-2.02700017691,-9.28999991417,0.322000011802,0.518000006676,0.160000003875
206.325417041,0.764490794164,-0.289986130281,0.00218223750541,-0.0276490393725,0.999393595475,0.00267082759318,0.0209941066269,-1.02099999115,-1.62200008631,-9.33499999046,0.311000004411,0.507499992848,0.177499994636
206.426098293,0.764599028038,-0.289599686552,0.0020071388614,-0.0277060150948,0.999388453405,0.00289903536493,0.0211318446489,-0.750999995321,-2.11200021506,-9.97000021936,0.347499996424,0.497499987483,0.181500002741
206.526779544,0.764559424631,-0.289752826548,0.00194880462038,-0.0276611324318,0.999391444803,0.00290969181301,0.0210386397436,-0.685999995843,-1.29200004339,-9.03999991417,0.332499995828,0.51399999857,0.153999999166
206.627460796,0.764362469723,-0.289799445947,0.00191223990578,-0.0278733847641,0.999387912217,0.00263656260727,0.0209715083574,-1.2309999995,-0.827000010014,-9.04500002861,0.317499995231,0.5094999969,0.166000001132
