,Unnamed: 0,.endpoint_state.pose.position.x,.endpoint_state.pose.position.y,.endpoint_state.pose.position.z,.endpoint_state.pose.orientation.x,.endpoint_state.pose.orientation.y,.endpoint_state.pose.orientation.z,.endpoint_state.pose.orientation.w,.wrench_stamped.wrench.force.x,.wrench_stamped.wrench.force.y,.wrench_stamped.wrench.force.z,.wrench_stamped.wrench.torque.x,.wrench_stamped.wrench.torque.y,.wrench_stamped.wrench.torque.z
0,205.927985,0.766483146839,-0.290443651223,-0.00065726242214,-0.0260593350191,0.999368943053,0.00430842247712,0.0237500361039,1.35099996477,3.90399996042,-7.17400016785,-0.460000008345,0.723999977112,0.00999999977648
1,206.029737188,0.767004294514,-0.290218837834,-0.000388169382296,-0.0259835030902,0.999355302061,0.0046602797068,0.0243321825018,1.87600006014,1.89900001734,-7.22400012016,-0.450000002981,0.729499995708,0.0519999992103
2,206.131489375,0.766652299597,-0.28995519843,-0.000756176828109,-0.0264521336122,0.999353001819,0.00447592654379,0.0239545851154,2.11099995524,2.27400000989,-6.97400012017,-0.461499989033,0.735000014305,0.0290000010282
3,206.233241563,0.766422234269,-0.289883196937,-0.000762859548225,-0.0264215669684,0.99935802079,0.00455017522664,0.0237621632455,2.57099999338,2.78400001526,-6.69900014401,-0.458999991417,0.738000005483,0.0484999995679
4,206.538498125,0.766015189459,-0.290321447976,-0.00126997951382,-0.025755460393,0.999387064152,0.00456290827974,0.0232638912876,2.27599991709,2.05900000632,-6.64400019646,-0.462999999524,0.740000009537,0.0304999994114
5,206.640250313,0.765871521281,-0.290299840112,-0.00127466265136,-0.0262686634261,0.999376669182,0.0043948656397,0.0231705187809,1.77099992186,3.03900001049,-6.75400009155,-0.466499999166,0.733999997377,-0.00700000009964
6,206.7420025,0.76641619534,-0.290028873936,-0.00066829976056,-0.0264952323688,0.999358026003,0.00424180251814,0.0237366416198,3.73599995524,3.19399998188,-6.94400014878,-0.449000000954,0.726999998093,0.00450000015553
7,206.945506875,0.766824633129,-0.289421196551,-0.000857770263427,-0.0266736673606,0.999343330967,0.00472843450063,0.0240619642771,2.16100002676,2.29900000096,-6.77400007248,-0.465999990702,0.722000002861,0.0305000003427
8,207.047259063,0.766226549787,-0.289938120096,-0.00107653084717,-0.0262897910591,0.999368280884,0.00460563880725,0.0234656827114,1.69599999339,2.55400002599,-7.72900011539,-0.444000005722,0.70300000906,0.0334999989719
9,207.14901125,0.766291563798,-0.290150068041,-0.000967080855139,-0.0263746938146,0.999364782811,0.00443751231242,0.0235490093022,2.07099999338,3.09400001764,-7.81900014878,-0.423000007868,0.722500026226,0.0139999999665
10,207.250763438,0.766259959519,-0.290066457788,-0.00100355388733,-0.0260788593004,0.99937093202,0.00466244644096,0.0235733970083,1.54600001722,5.53400007487,-7.49400010109,-0.457499995828,0.731000006198,0.00849999999627
11,207.352515625,0.766279694846,-0.29040506954,-0.001084202583,-0.0260859888119,0.99937229235,0.00445355149684,0.0235510859043,2.29600001722,2.62900001407,-8.31900014878,-0.432500004769,0.702500015498,0.038999998942
12,207.454267813,0.766420832158,-0.29038347234,-0.000735660497428,-0.0259697799019,0.999371316637,0.00441561714075,0.0237242484165,1.16099996716,4.93399993181,-7.82900013923,-0.452500000596,0.725499987603,0.0144999995828
13,207.55602,0.766660698226,-0.290138179769,-0.000611352801586,-0.0260438118761,0.999364996532,0.00440926737885,0.0239129647872,1.59099997431,3.98400000334,-7.81400003434,-0.456999987364,0.741499990225,0.0380000006408
14,207.657772188,0.766460994755,-0.290011516455,-0.000833211507915,-0.0266434301978,0.999353267476,0.00433309844958,0.0237523817918,0.416000021994,3.34400001764,-7.79900004864,-0.461500003934,0.752499997616,0.0379999987781
15,207.759524375,0.766752628702,-0.290036343785,-0.000572764795977,-0.026218902402,0.999354347047,0.00452787936611,0.0241431777791,1.32099993378,3.14900002479,-7.41900017262,-0.457500010729,0.737500011921,0.0384999997913
16,207.861276562,0.766057709009,-0.290260878885,-0.00109128488655,-0.0262049048003,0.999373657999,0.0044505336913,0.0233590318596,0.901000036299,3.47400001287,-7.44400014878,-0.452500000596,0.735500007868,0.0440000016242
17,207.96302875,0.76650569475,-0.290380507786,-0.000842084303864,-0.0260117904558,0.99936954292,0.00450216924238,0.0237387973145,0.411000026762,3.34900001287,-7.02400007248,-0.463499993086,0.739499986172,0.0185000002384
18,208.064780937,0.76649051662,-0.290173035882,-0.000893956925933,-0.0261195313516,0.999368731294,0.00450647244675,0.0236556929815,-1.40399999507,3.92900005579,-6.63900008202,-0.482500001788,0.71850001812,0.0130000003847
19,208.166533125,0.766139532204,-0.290645453627,-0.00121048044571,-0.0261087169731,0.999377373768,0.00415707724176,0.0233632234394,1.28599996715,3.41400001049,-7.80900015831,-0.450499996543,0.712000012397,0.0504999998957
20,208.3700375,0.766236879638,-0.290498890801,-0.000802589296414,-0.0260884282391,0.999373428423,0.00426249863532,0.0235348838753,0.241000039875,4.04399994612,-7.91400005818,-0.519999995828,0.620499998331,0.0609999988228
